#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CMD,2017-04-01 00:15,-86.8580,34.2687,63.00,45.90,53.58,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010015Z AUTO 00000KT 10SM CLR 17/08 A2992 RMK AO2 T01720077
CMD,2017-04-01 00:35,-86.8580,34.2687,59.00,47.50,65.59,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010035Z AUTO 00000KT 10SM CLR 15/09 A2993 RMK AO2 T01500086
CMD,2017-04-01 00:55,-86.8580,34.2687,57.90,47.80,69.00,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010055Z AUTO 00000KT 10SM CLR 14/09 A2994 RMK AO2 T01440088
CMD,2017-04-01 01:15,-86.8580,34.2687,56.70,48.20,73.14,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010115Z AUTO 00000KT 10SM CLR 14/09 A2994 RMK AO2 T01370090
CMD,2017-04-01 01:35,-86.8580,34.2687,55.60,47.30,73.58,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010135Z AUTO 00000KT 10SM CLR 13/09 A2995 RMK AO2 T01310085
CMD,2017-04-01 01:55,-86.8580,34.2687,55.00,47.50,75.77,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010155Z AUTO 00000KT 10SM CLR 13/09 A2995 RMK AO2 T01280086
CMD,2017-04-01 02:15,-86.8580,34.2687,53.80,46.90,77.39,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010215Z AUTO 00000KT 10SM CLR 12/08 A2996 RMK AO2 T01210083
CMD,2017-04-01 02:35,-86.8580,34.2687,53.80,47.30,78.57,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010235Z AUTO 00000KT 10SM CLR 12/09 A2996 RMK AO2 T01210085
CMD,2017-04-01 02:55,-86.8580,34.2687,52.30,47.10,82.39,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010255Z AUTO 00000KT 10SM CLR 11/08 A2997 RMK AO2 T01130084
CMD,2017-04-01 03:15,-86.8580,34.2687,51.40,46.80,84.22,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010315Z AUTO 00000KT 10SM CLR 11/08 A2997 RMK AO2 T01080082
CMD,2017-04-01 03:35,-86.8580,34.2687,51.40,47.30,85.82,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010335Z AUTO 00000KT 10SM CLR 11/09 A2998 RMK AO2 T01080085
CMD,2017-04-01 03:55,-86.8580,34.2687,51.10,47.30,86.78,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010355Z AUTO 00000KT 10SM CLR 11/09 A2998 RMK AO2 T01060085
CMD,2017-04-01 04:15,-86.8580,34.2687,49.30,46.20,89.01,50.00,3.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010415Z AUTO 05003KT 10SM CLR 10/08 A2999 RMK AO2 T00960079
CMD,2017-04-01 04:35,-86.8580,34.2687,49.30,47.10,92.08,10.00,4.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010435Z AUTO 01004KT 10SM CLR 10/08 A2999 RMK AO2 T00960084
CMD,2017-04-01 04:55,-86.8580,34.2687,54.70,46.90,74.89,10.00,4.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010455Z AUTO 01004KT 10SM CLR 13/08 A3000 RMK AO2 T01260083
CMD,2017-04-01 05:15,-86.8580,34.2687,54.50,46.80,75.15,360.00,5.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCMD 010515Z AUTO 36005KT 10SM CLR 13/08 A3000 RMK AO2 T01250082
