#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GLW,2017-04-01 00:10,-85.9537,37.0318,49.50,44.10,81.57,300.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KGLW 010010Z AUTO 30009KT 10SM OVC019 10/07 A2994 RMK AO2 T00970067
GLW,2017-04-01 00:30,-85.9537,37.0318,49.10,43.70,81.54,300.00,7.00,0.00,29.94,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KGLW 010030Z AUTO 30007KT 10SM OVC019 10/07 A2994 RMK AO2 T00950065
GLW,2017-04-01 00:50,-85.9537,37.0318,48.70,43.90,83.40,300.00,9.00,0.00,29.95,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010050Z AUTO 30009KT 10SM OVC015 09/07 A2995 RMK AO2 T00930066
GLW,2017-04-01 01:10,-85.9537,37.0318,48.40,44.10,84.99,300.00,4.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KGLW 010110Z AUTO 30004KT 10SM OVC013 09/07 A2996 RMK AO2 T00910067
GLW,2017-04-01 01:30,-85.9537,37.0318,48.20,43.30,83.05,290.00,5.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KGLW 010130Z AUTO 29005KT 10SM OVC013 09/06 A2997 RMK AO2 T00900063
GLW,2017-04-01 01:50,-85.9537,37.0318,48.20,43.20,82.73,290.00,6.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010150Z AUTO 29006KT 10SM OVC015 09/06 A2998 RMK AO2 T00900062
GLW,2017-04-01 02:10,-85.9537,37.0318,48.20,43.00,82.10,290.00,4.00,0.00,29.98,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010210Z AUTO 29004KT 10SM OVC015 09/06 A2998 RMK AO2 T00900061
GLW,2017-04-01 02:30,-85.9537,37.0318,47.80,42.80,82.71,290.00,6.00,0.00,29.99,M,10.00,M,BKN,OVC,M,M,1500.00,2200.00,M,M,M,KGLW 010230Z AUTO 29006KT 10SM BKN015 OVC022 09/06 A2999 RMK AO2 T00880060
GLW,2017-04-01 02:50,-85.9537,37.0318,47.70,42.40,81.75,290.00,6.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KGLW 010250Z AUTO 29006KT 10SM OVC017 09/06 A3000 RMK AO2 T00870058
GLW,2017-04-01 03:10,-85.9537,37.0318,47.30,42.30,82.67,310.00,4.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010310Z AUTO 31004KT 10SM OVC015 09/06 A3000 RMK AO2 T00850057
GLW,2017-04-01 03:30,-85.9537,37.0318,47.30,42.30,82.67,310.00,4.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010330Z AUTO 31004KT 10SM OVC015 09/06 A3000 RMK AO2 T00850057
GLW,2017-04-01 03:50,-85.9537,37.0318,47.30,42.10,82.04,300.00,4.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010350Z AUTO 30004KT 10SM OVC015 09/06 A3000 RMK AO2 T00850056
GLW,2017-04-01 04:10,-85.9537,37.0318,47.10,42.30,83.30,310.00,4.00,0.00,30.01,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KGLW 010410Z AUTO 31004KT 10SM OVC013 08/06 A3001 RMK AO2 T00840057
GLW,2017-04-01 04:30,-85.9537,37.0318,46.90,42.30,83.93,290.00,3.00,0.00,30.01,M,10.00,M,BKN,OVC,M,M,1300.00,2000.00,M,M,M,KGLW 010430Z AUTO 29003KT 10SM BKN013 OVC020 08/06 A3001 RMK AO2 T00830057
GLW,2017-04-01 04:50,-85.9537,37.0318,46.60,41.90,83.58,300.00,6.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KGLW 010450Z AUTO 30006KT 10SM OVC017 08/06 A3002 RMK AO2 T00810055
GLW,2017-04-01 05:10,-85.9537,37.0318,46.60,41.90,83.58,330.00,3.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KGLW 010510Z AUTO 33003KT 10SM OVC015 08/06 A3002 RMK AO2 T00810055
