#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
PATQ,2017-04-01 00:00,-157.4357,70.4673,M,M,M,60.00,5.00,M,29.73,M,9.00,M,OVC,M,M,M,8500.00,M,M,M,-SN,PATQ 010000Z AUTO 06005KT 9SM -SN OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:05,-157.4357,70.4673,M,M,M,70.00,6.00,M,29.73,M,9.00,M,OVC,M,M,M,8500.00,M,M,M,-SN,PATQ 010005Z AUTO 07006KT 9SM -SN OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:10,-157.4357,70.4673,M,M,M,70.00,5.00,M,29.73,M,9.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010010Z AUTO 07005KT 9SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:15,-157.4357,70.4673,M,M,M,70.00,5.00,M,29.73,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010015Z AUTO 07005KT 10SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:20,-157.4357,70.4673,M,M,M,80.00,4.00,M,29.73,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010020Z AUTO 08004KT 10SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:25,-157.4357,70.4673,M,M,M,80.00,5.00,M,29.73,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010025Z AUTO 08005KT 10SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:30,-157.4357,70.4673,M,M,M,70.00,4.00,M,29.73,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010030Z AUTO 07004KT 10SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:35,-157.4357,70.4673,M,M,M,70.00,5.00,M,29.73,M,10.00,M,OVC,M,M,M,8500.00,M,M,M,M,PATQ 010035Z AUTO 07005KT 10SM OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:40,-157.4357,70.4673,M,M,M,70.00,5.00,M,29.73,M,10.00,M,FEW,OVC,M,M,1300.00,8500.00,M,M,M,PATQ 010040Z AUTO 07005KT 10SM FEW013 OVC085 A2973 RMK MADISHF
PATQ,2017-04-01 00:45,-157.4357,70.4673,M,M,M,70.00,5.00,M,29.73,M,10.00,M,SCT,OVC,M,M,1300.00,8500.00,M,M,M,PATQ 010045Z AUTO 07005KT 10SM SCT013 OVC085 A2973 RMK MADISHF
