#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
GON,2017-04-01 00:00,-72.0500,41.3300,M,M,M,80.00,17.00,0.01,29.94,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KGON 010000Z AUTO 08017KT 5SM RA BR OVC011 A2994 RMK P0001 MADISHF
GON,2017-04-01 00:05,-72.0500,41.3300,M,M,M,80.00,16.00,0.02,29.93,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KGON 010005Z AUTO 08016KT 5SM RA BR OVC011 A2993 RMK P0002 MADISHF
GON,2017-04-01 00:10,-72.0500,41.3300,M,M,M,80.00,17.00,0.03,29.94,M,5.00,M,OVC,M,M,M,1100.00,M,M,M,RA BR,KGON 010010Z AUTO 08017KT 5SM RA BR OVC011 A2994 RMK P0003 MADISHF
GON,2017-04-01 00:15,-72.0500,41.3300,M,M,M,80.00,17.00,0.04,29.93,M,5.00,M,OVC,M,M,M,1300.00,M,M,M,RA BR,KGON 010015Z AUTO 08017KT 5SM RA BR OVC013 A2993 RMK P0004 MADISHF
GON,2017-04-01 00:20,-72.0500,41.3300,M,M,M,70.00,19.00,0.05,29.94,M,5.00,M,OVC,M,M,M,1300.00,M,M,M,-RA BR,KGON 010020Z AUTO 07019KT 5SM -RA BR OVC013 A2994 RMK P0005 MADISHF
GON,2017-04-01 00:25,-72.0500,41.3300,M,M,M,80.00,18.00,0.06,29.93,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KGON 010025Z AUTO 08018KT 7SM -RA OVC012 A2993 RMK P0006 MADISHF
GON,2017-04-01 00:30,-72.0500,41.3300,M,M,M,90.00,17.00,0.06,29.93,M,7.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KGON 010030Z AUTO 09017KT 7SM -RA OVC012 A2993 RMK P0006 MADISHF
GON,2017-04-01 00:35,-72.0500,41.3300,M,M,M,80.00,18.00,0.07,29.92,M,7.00,24.00,OVC,M,M,M,1200.00,M,M,M,-RA,KGON 010035Z AUTO 08018G24KT 7SM -RA OVC012 A2992 RMK P0007 MADISHF
GON,2017-04-01 00:40,-72.0500,41.3300,M,M,M,90.00,18.00,0.07,29.92,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KGON 010040Z AUTO 09018KT 6SM -RA BR OVC012 A2992 RMK P0007 MADISHF
GON,2017-04-01 00:45,-72.0500,41.3300,M,M,M,80.00,19.00,0.08,29.92,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KGON 010045Z AUTO 08019KT 6SM -RA BR OVC012 A2992 RMK P0008 MADISHF
GON,2017-04-01 00:50,-72.0500,41.3300,M,M,M,80.00,19.00,0.09,29.92,M,6.00,M,OVC,M,M,M,1200.00,M,M,M,-RA BR,KGON 010050Z AUTO 08019KT 6SM -RA BR OVC012 A2992 RMK P0009 MADISHF
GON,2017-04-01 00:55,-72.0500,41.3300,M,M,M,80.00,19.00,0.09,29.92,M,7.00,M,BKN,OVC,M,M,1400.00,1999.00,M,M,-RA,KGON 010055Z AUTO 08019KT 7SM -RA BKN014 OVC019 A2992 RMK P0009 MADISHF
GON,2017-04-01 00:56,-72.0500,41.3300,37.00,33.10,85.64,80.00,21.00,0.09,29.92,1013.00,6.00,31.00,OVC,M,M,M,1400.00,M,M,M,-RA BR,KGON 010056Z 08021G31KT 6SM -RA BR OVC014 03/01 A2992 RMK AO2 PK WND 09031/0056 SLP130 P0009 T00280006
GON,2017-04-01 01:00,-72.0500,41.3300,M,M,M,80.00,18.00,0.01,29.92,M,6.00,M,OVC,M,M,M,1400.00,M,M,M,-RA BR,KGON 010100Z AUTO 08018KT 6SM -RA BR OVC014 A2992 RMK P0001 MADISHF
GON,2017-04-01 01:05,-72.0500,41.3300,M,M,M,M,M,0.01,29.92,M,6.00,M,BKN,OVC,M,M,1400.00,1999.00,M,M,-RA BR,KGON 010105Z AUTO /////KT 6SM -RA BR BKN014 OVC019 A2992 RMK P0001 MADISHF
GON,2017-04-01 01:10,-72.0500,41.3300,M,M,M,80.00,22.00,0.02,29.92,M,7.00,M,BKN,OVC,M,M,1600.00,2200.00,M,M,-RA,KGON 010110Z AUTO 08022KT 7SM -RA BKN016 OVC022 A2992 RMK P0002 MADISHF
GON,2017-04-01 01:15,-72.0500,41.3300,M,M,M,80.00,18.00,0.02,29.91,M,7.00,M,BKN,OVC,M,M,1600.00,2200.00,M,M,-RA,KGON 010115Z AUTO 08018KT 7SM -RA BKN016 OVC022 A2991 RMK P0002 MADISHF
GON,2017-04-01 01:16,-72.0500,41.3300,37.00,33.10,85.64,70.00,17.00,0.02,29.91,M,7.00,30.00,BKN,OVC,M,M,1600.00,2200.00,M,M,-RA,KGON 010116Z 07017G30KT 7SM -RA BKN016 OVC022 03/01 A2991 RMK AO2 PK WND 10030/0109 P0002 T00280006
