#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
AFN,2017-04-01 00:00,-72.0030,42.8051,M,M,M,10.00,3.00,0.01,30.00,M,2.00,M,BKN,BKN,OVC,M,999.00,2600.00,3800.00,M,UP BR,KAFN 010000Z AUTO 01003KT 2SM UP BR BKN009 BKN026 OVC038 A3000 RMK P0001 VRB03KT  MADISHF
AFN,2017-04-01 00:05,-72.0030,42.8051,M,M,M,50.00,4.00,0.02,30.00,M,1.50,M,FEW,BKN,OVC,M,700.00,999.00,3800.00,M,UP BR,KAFN 010005Z AUTO 05004KT 1 1/2SM UP BR FEW007 BKN009 OVC038 A3000 RMK P0002 VRB04KT  MADISHF
AFN,2017-04-01 00:07,-72.0030,42.8051,30.00,27.00,88.44,M,3.00,0.02,30.00,M,1.25,M,FEW,BKN,OVC,M,700.00,1000.00,3800.00,M,UP BR,KAFN 010007Z AUTO VRB03KT 1 1/4SM UP BR FEW007 BKN010 OVC038 M01/M03 A3000 RMK AO2 P0002 T10111028
AFN,2017-04-01 00:10,-72.0030,42.8051,M,M,M,40.00,6.00,0.03,30.00,M,1.25,M,FEW,BKN,OVC,M,700.00,999.00,3800.00,M,UP BR,KAFN 010010Z AUTO 04006KT 1 1/2SM UP BR FEW007 BKN009 OVC038 A3000 RMK P0003 VRB06KT  MADISHF
AFN,2017-04-01 00:15,-72.0030,42.8051,M,M,M,30.00,3.00,0.04,30.00,M,1.50,M,BKN,BKN,OVC,M,1100.00,2100.00,3800.00,M,UP BR,KAFN 010015Z AUTO 03003KT 1 1/2SM UP BR BKN011 BKN021 OVC038 A3000 RMK P0004 VRB03KT  MADISHF
AFN,2017-04-01 00:17,-72.0030,42.8051,30.00,27.00,88.44,M,3.00,0.04,30.00,M,1.75,M,FEW,BKN,OVC,M,800.00,1100.00,3800.00,M,UP BR,KAFN 010017Z AUTO VRB03KT 1 3/4SM UP BR FEW008 BKN011 OVC038 M01/M03 A3000 RMK AO2 P0004 T10111028
AFN,2017-04-01 00:20,-72.0030,42.8051,M,M,M,M,M,0.05,30.00,M,1.75,M,BKN,BKN,OVC,M,1100.00,2300.00,3800.00,M,UP BR,KAFN 010020Z AUTO /////KT 2SM UP BR BKN011 BKN023 OVC038 A3000 RMK P0005 MADISHF
AFN,2017-04-01 00:25,-72.0030,42.8051,M,M,M,60.00,4.00,0.05,30.00,M,2.00,M,FEW,BKN,OVC,M,900.00,1300.00,3800.00,M,UP BR,KAFN 010025Z AUTO 06004KT 2SM UP BR FEW009 BKN013 OVC038 A3000 RMK P0005 VRB04KT  MADISHF
AFN,2017-04-01 00:27,-72.0030,42.8051,30.00,27.00,88.44,M,5.00,0.06,30.00,M,2.00,M,SCT,BKN,OVC,M,900.00,1300.00,3800.00,M,UP BR,KAFN 010027Z AUTO VRB05KT 2SM UP BR SCT009 BKN013 OVC038 M01/M03 A3000 RMK AO2 P0006 T10111028
AFN,2017-04-01 00:29,-72.0030,42.8051,30.00,27.00,88.44,M,4.00,0.06,30.00,M,1.75,M,FEW,BKN,OVC,M,900.00,2000.00,3800.00,M,UP BR,KAFN 010029Z AUTO VRB04KT 1 3/4SM UP BR FEW009 BKN020 OVC038 M01/M03 A3000 RMK AO2 P0006 T10111028
AFN,2017-04-01 00:30,-72.0030,42.8051,M,M,M,40.00,3.00,0.06,30.00,M,1.75,M,FEW,BKN,OVC,M,900.00,1999.00,3800.00,M,UP BR,KAFN 010030Z AUTO 04003KT 2SM UP BR FEW009 BKN019 OVC038 A3000 RMK P0006 VRB03KT  MADISHF
AFN,2017-04-01 00:35,-72.0030,42.8051,M,M,M,40.00,5.00,0.07,30.00,M,1.50,M,SCT,BKN,OVC,M,900.00,1400.00,3800.00,M,UP BR,KAFN 010035Z AUTO 04005KT 1 1/2SM UP BR SCT009 BKN014 OVC038 A3000 RMK P0007 VRB05KT  MADISHF
AFN,2017-04-01 00:38,-72.0030,42.8051,30.00,27.00,88.44,M,4.00,0.08,30.00,M,1.25,M,SCT,BKN,OVC,M,900.00,1200.00,3800.00,M,UP BR,KAFN 010038Z AUTO VRB04KT 1 1/4SM UP BR SCT009 BKN012 OVC038 M01/M03 A3000 RMK AO2 P0008 T10111028
AFN,2017-04-01 00:40,-72.0030,42.8051,M,M,M,30.00,3.00,0.08,30.00,M,1.25,M,SCT,BKN,OVC,M,900.00,1400.00,3800.00,M,UP BR,KAFN 010040Z AUTO 03003KT 1 1/2SM UP BR SCT009 BKN014 OVC038 A3000 RMK P0008 VRB03KT  MADISHF
AFN,2017-04-01 00:43,-72.0030,42.8051,30.00,27.00,88.44,M,4.00,0.09,29.99,M,1.50,M,SCT,BKN,OVC,M,900.00,1500.00,3800.00,M,UP BR,KAFN 010043Z AUTO VRB04KT 1 1/2SM UP BR SCT009 BKN015 OVC038 M01/M03 A2999 RMK AO2 P0009 T10111028
AFN,2017-04-01 00:45,-72.0030,42.8051,M,M,M,0.00,0.00,0.09,29.99,M,1.50,M,BKN,OVC,M,M,900.00,1500.00,M,M,UP BR,KAFN 010045Z AUTO 00000KT 1 1/2SM UP BR BKN009 OVC015 A2999 RMK P0009 MADISHF
AFN,2017-04-01 00:50,-72.0030,42.8051,M,M,M,M,M,0.10,29.99,M,1.50,M,BKN,OVC,M,M,900.00,1500.00,M,M,UP BR,KAFN 010050Z AUTO /////KT 1 1/2SM UP BR BKN009 OVC015 A2999 RMK P0010 MADISHF
AFN,2017-04-01 00:52,-72.0030,42.8051,30.00,27.00,88.44,M,3.00,0.10,29.99,1017.30,1.50,M,BKN,OVC,M,M,900.00,1500.00,M,M,UP BR,KAFN 010052Z AUTO VRB03KT 1 1/2SM UP BR BKN009 OVC015 M01/M03 A2999 RMK AO2 SLP173 P0010 T10111028
AFN,2017-04-01 00:55,-72.0030,42.8051,M,M,M,20.00,3.00,0.01,29.99,M,1.50,M,BKN,OVC,M,M,900.00,1500.00,M,M,UP BR,KAFN 010055Z AUTO 02003KT 1 1/2SM UP BR BKN009 OVC015 A2999 RMK P0001 VRB03KT  MADISHF
AFN,2017-04-01 01:00,-72.0030,42.8051,M,M,M,50.00,5.00,0.02,29.99,M,1.50,M,FEW,BKN,OVC,M,499.00,900.00,1300.00,M,UP BR,KAFN 010100Z AUTO 05005KT 1 1/2SM UP BR FEW004 BKN009 OVC013 A2999 RMK P0002 VRB05KT  MADISHF
AFN,2017-04-01 01:05,-72.0030,42.8051,M,M,M,30.00,5.00,0.03,29.99,M,1.50,M,SCT,OVC,M,M,900.00,1300.00,M,M,UP BR,KAFN 010105Z AUTO 03005KT 1 1/2SM UP BR SCT009 OVC013 A2999 RMK P0003 VRB05KT  MADISHF
AFN,2017-04-01 01:10,-72.0030,42.8051,30.00,27.00,88.44,M,3.00,0.03,29.99,M,1.50,M,SCT,OVC,M,M,700.00,1300.00,M,M,UP BR,KAFN 010110Z AUTO VRB03KT 1 1/2SM UP BR SCT007 OVC013 M01/M03 A2999 RMK AO2 P0003 T10111028
AFN,2017-04-01 01:15,-72.0030,42.8051,M,M,M,40.00,4.00,0.04,29.99,M,1.50,M,SCT,OVC,M,M,900.00,1300.00,M,M,UP BR,KAFN 010115Z AUTO 04004KT 1 1/2SM UP BR SCT009 OVC013 A2999 RMK P0004 VRB04KT  MADISHF
AFN,2017-04-01 01:20,-72.0030,42.8051,M,M,M,60.00,3.00,0.05,29.98,M,1.50,M,OVC,M,M,M,1300.00,M,M,M,UP BR,KAFN 010120Z AUTO 06003KT 1 1/2SM UP BR OVC013 A2998 RMK P0005 VRB03KT  MADISHF
AFN,2017-04-01 01:25,-72.0030,42.8051,M,M,M,0.00,0.00,0.05,29.98,M,1.50,M,SCT,OVC,M,M,900.00,1300.00,M,M,UP BR,KAFN 010125Z AUTO 00000KT 1 1/2SM UP BR SCT009 OVC013 A2998 RMK P0005 MADISHF
AFN,2017-04-01 01:30,-72.0030,42.8051,M,M,M,40.00,5.00,0.06,29.98,M,1.50,M,SCT,OVC,M,M,900.00,1300.00,M,M,UP BR,KAFN 010130Z AUTO 04005KT 1 1/2SM UP BR SCT009 OVC013 A2998 RMK P0006 VRB05KT  MADISHF
AFN,2017-04-01 01:35,-72.0030,42.8051,M,M,M,50.00,5.00,0.07,29.98,M,1.50,M,BKN,OVC,M,M,1100.00,1600.00,M,M,UP BR,KAFN 010135Z AUTO 05005KT 1 1/2SM UP BR BKN011 OVC016 A2998 RMK P0007 VRB05KT  MADISHF
AFN,2017-04-01 01:40,-72.0030,42.8051,M,M,M,50.00,3.00,0.07,29.98,M,1.25,M,SCT,OVC,M,M,700.00,1400.00,M,M,-SN BR,KAFN 010140Z AUTO 05003KT 1 1/2SM -SN BR SCT007 OVC014 A2998 RMK P0007 VRB03KT  MADISHF
AFN,2017-04-01 01:43,-72.0030,42.8051,30.00,27.00,88.44,M,4.00,0.08,29.97,M,1.25,M,SCT,OVC,M,M,700.00,1400.00,M,M,-SN BR,KAFN 010143Z AUTO VRB04KT 1 1/4SM -SN BR SCT007 OVC014 M01/M03 A2997 RMK AO2 UPE36SNB36 P0008 T10111028
AFN,2017-04-01 01:45,-72.0030,42.8051,M,M,M,50.00,5.00,0.08,29.97,M,1.25,M,BKN,OVC,M,M,700.00,1400.00,M,M,-SN BR,KAFN 010145Z AUTO 05005KT 1 1/2SM -SN BR BKN007 OVC014 A2997 RMK P0008 VRB05KT  MADISHF
AFN,2017-04-01 01:50,-72.0030,42.8051,M,M,M,20.00,4.00,0.09,29.97,M,1.25,M,SCT,OVC,M,M,800.00,1200.00,M,M,UP BR,KAFN 010150Z AUTO 02004KT 1 1/2SM UP BR SCT008 OVC012 A2997 RMK P0009 VRB04KT  MADISHF
AFN,2017-04-01 01:52,-72.0030,42.8051,30.00,27.00,88.44,M,5.00,0.09,29.96,1016.40,1.25,M,BKN,OVC,M,M,1000.00,1500.00,M,M,UP BR,KAFN 010152Z AUTO VRB05KT 1 1/4SM UP BR BKN010 OVC015 M01/M03 A2996 RMK AO2 UPE36B48SNB36E48 SLP164 P0009 T10111028
AFN,2017-04-01 01:54,-72.0030,42.8051,30.00,27.00,88.44,M,3.00,0.01,29.96,M,1.50,M,BKN,OVC,M,M,800.00,1300.00,M,M,UP BR,KAFN 010154Z AUTO VRB03KT 1 1/2SM UP BR BKN008 OVC013 M01/M03 A2996 RMK AO2 P0001 T10111028
AFN,2017-04-01 02:00,-72.0030,42.8051,M,M,M,30.00,7.00,0.01,29.96,M,1.50,M,BKN,OVC,M,M,800.00,1300.00,M,M,UP BR,KAFN 010200Z AUTO 03007KT 1 1/2SM UP BR BKN008 OVC013 A2996 RMK P0001 WND 36V08  MADISHF
AFN,2017-04-01 02:05,-72.0030,42.8051,M,M,M,40.00,4.00,0.02,29.96,M,1.50,M,BKN,OVC,M,M,999.00,1300.00,M,M,UP BR,KAFN 010205Z AUTO 04004KT 1 1/2SM UP BR BKN009 OVC013 A2996 RMK P0002 VRB04KT  MADISHF
AFN,2017-04-01 02:10,-72.0030,42.8051,30.00,28.00,92.15,M,6.00,0.03,29.96,M,1.25,M,OVC,M,M,M,1000.00,M,M,M,UP BR,KAFN 010210Z AUTO VRB06KT 1 1/4SM UP BR OVC010 M01/M02 A2996 RMK AO2 P0003 T10111022
AFN,2017-04-01 02:15,-72.0030,42.8051,M,M,M,0.00,0.00,0.04,29.96,M,1.25,M,BKN,OVC,M,M,999.00,1300.00,M,M,-SN BR,KAFN 010215Z AUTO 00000KT 1 1/2SM -SN BR BKN009 OVC013 A2996 RMK P0004 MADISHF
AFN,2017-04-01 02:18,-72.0030,42.8051,30.00,28.00,92.15,M,M,0.04,29.96,M,1.00,M,OVC,M,M,M,800.00,M,M,M,-SN BR,KAFN 010218Z AUTO 1SM -SN BR OVC008 M01/M02 A2996 RMK AO2 UPE12SNB12 P0004 T10111022
AFN,2017-04-01 02:20,-72.0030,42.8051,M,M,M,M,M,0.04,29.96,M,1.00,M,OVC,M,M,M,800.00,M,M,M,-SN BR,KAFN 010220Z AUTO /////KT 1SM -SN BR OVC008 A2996 RMK P0004 MADISHF
AFN,2017-04-01 02:25,-72.0030,42.8051,M,M,M,50.00,4.00,0.05,29.95,M,1.00,M,VV ,M,M,M,800.00,M,M,M,-SN BR,KAFN 010225Z AUTO 05004KT 1SM -SN BR VV008 A2995 RMK P0005 VRB04KT  MADISHF
AFN,2017-04-01 02:30,-72.0030,42.8051,M,M,M,40.00,4.00,0.06,29.94,M,0.75,M,VV ,M,M,M,800.00,M,M,M,-SN BR,KAFN 010230Z AUTO 04004KT 1SM -SN BR VV008 A2994 RMK P0006 VRB04KT  MADISHF
